"skill_id","triggers","score","src_path"
"agents-md","agents;md","100","skills/agents-md/SKILL.md"
"antigravity-skill-orchestrator","antigravity;skill;orchestrator","100","skills/antigravity-skill-orchestrator/SKILL.md"
"audit-skills","audit;skills","100","skills/audit-skills/SKILL.md"
"documentation-generation-doc-generate","documentation;generation;doc;generate","100","skills/documentation-generation-doc-generate/SKILL.md"
"hierarchical-agent-memory","hierarchical;agent;memory","100","skills/hierarchical-agent-memory/SKILL.md"
"lint-and-validate","lint;and;validate","100","skills/lint-and-validate/SKILL.md"
"skill-authoring-workflow","skill;authoring;workflow","100","skills/skill-authoring-workflow/SKILL.md"
"skill-check","skill;check","100","skills/skill-check/SKILL.md"
"skill-creator","skill;creator","100","skills/skill-creator/SKILL.md"
"skill-creator-ms","skill;creator;ms","100","skills/skill-creator-ms/SKILL.md"
"skill-developer","skill;developer","100","skills/skill-developer/SKILL.md"
"skill-improver","skill;improver","100","skills/skill-improver/SKILL.md"
"skill-installer","skill;installer","100","skills/skill-installer/SKILL.md"
"skill-router","skill;router","100","skills/skill-router/SKILL.md"
"skill-scanner","skill;scanner","100","skills/skill-scanner/SKILL.md"
"skill-seekers","skill;seekers","100","skills/skill-seekers/SKILL.md"
"skill-sentinel","skill;sentinel","100","skills/skill-sentinel/SKILL.md"
"skill-writer","skill;writer","100","skills/skill-writer/SKILL.md"
"verification-before-completion","verification;before;completion","100","skills/verification-before-completion/SKILL.md"
"writing-skills","writing;skills","100","skills/writing-skills/SKILL.md"
"template-skill","template;skill","11","skills/template-skill/SKILL.md"
"citation-management","citation;management","5","skills/citation-management/SKILL.md"
"docx","docx","5","skills/docx/SKILL.md"